,Wounded,Gender of Victims (M/F/Both),Targeted Specific Victim(s),Suicide (or attempted suicide) by Shooter (Y/N),Pre-planned school attack,Day of week (formula),School Type,Number of Shooters,Killed
348,0.0,0,1,0,0,2,0,1.0,1
349,2.0,2,1,0,0,5,2,4.0,0
350,4.0,2,1,0,0,4,2,1.0,0
351,2.0,0,1,0,0,4,2,1.0,0
352,2.0,2,0,0,0,3,0,1.0,5
353,9.0,2,0,0,0,0,0,1.0,2
354,1.0,1,-1,0,0,0,0,1.0,0
355,0.0,-1,1,0,0,1,2,1.0,0
356,5.0,1,1,0,0,1,1,0,0
357,1.0,1,0,0,0,2,2,1.0,0
358,1.0,1,1,0,0,3,0,1.0,0
359,1.0,0,0,0,0,4,2,1.0,0
360,1.0,1,1,0,0,4,0,1.0,0
361,0.0,0,1,0,0,1,2,1.0,0
362,1.0,0,-1,0,0,0,0,1.0,0
363,1.0,0,1,0,0,1,2,1.0,0
364,1.0,2,1,0,1,4,0,1.0,1
365,32.0,2,0,1,1,1,0,1.0,6
366,4.0,0,1,0,0,3,2,2.0,0
367,0.0,0,0,0,0,4,1,1.0,0
368,0.0,0,1,0,0,4,2,1.0,1
369,1.0,0,1,0,0,2,2,1.0,0
370,0.0,0,0,0,0,0,2,1.0,1
371,0.0,-1,0,0,0,0,2,1.0,0
372,1.0,0,1,0,-1,3,2,1.0,0
373,1.0,0,0,0,0,1,1,1.0,0
374,0.0,0,0,0,0,0,2,1.0,1
375,1.0,0,0,0,0,2,1,1.0,0
376,0.0,0,1,0,0,2,2,1.0,1
377,1.0,0,1,0,0,0,2,0,0
378,1.0,0,1,0,0,1,2,1.0,0
379,1.0,0,1,1,0,1,2,1.0,1
380,1.0,0,1,0,0,1,2,1.0,0
381,2.0,2,0,0,0,1,2,1.0,0
382,0.0,0,1,0,0,1,2,1.0,1
383,1.0,0,1,0,0,1,2,1.0,0
384,1.0,0,1,0,0,1,2,0,0
385,1.0,0,1,0,0,4,2,1.0,1
386,0.0,0,1,0,0,6,2,1.0,1
387,2.0,0,0,0,0,3,0,1.0,0
388,0.0,0,-1,0,0,4,2,1.0,1
389,0.0,-1,1,0,0,0,2,1.0,0
390,0.0,0,1,0,0,0,2,1.0,1
391,3.0,0,1,0,0,1,2,1.0,0
392,1.0,1,-1,0,0,1,2,1.0,0
393,0.0,-1,0,0,0,0,2,1.0,0
394,1.0,0,1,0,0,1,2,1.0,0
395,0.0,-1,1,0,0,3,2,0,0
396,0.0,0,1,1,0,1,2,1.0,1
397,1.0,1,0,0,0,3,1,2.0,0
398,1.0,2,1,0,0,1,2,1.0,1
399,2.0,0,1,0,0,2,2,1.0,0
400,4.0,2,1,0,0,3,2,2.0,0
401,0.0,0,1,0,0,0,2,1.0,1
402,0.0,0,1,1,0,3,2,1.0,1
403,0.0,0,0,0,0,1,1,2.0,1
404,1.0,0,0,0,0,1,2,1.0,0
405,0.0,0,1,0,0,4,1,1.0,1
406,2.0,2,-1,0,0,3,1,1.0,0
407,0.0,0,1,0,0,1,1,1.0,1
408,1.0,0,1,0,0,0,2,1.0,0
409,1.0,0,1,0,0,1,1,1.0,0
410,0.0,0,0,0,0,4,2,0,1
411,1.0,0,0,0,0,1,2,1.0,0
412,0.0,0,1,0,0,2,2,1.0,1
413,1.0,0,0,0,0,2,2,1.0,0
414,2.0,0,0,0,0,4,2,0,0
415,0.0,-1,-1,0,0,4,2,0,0
416,0.0,0,1,0,0,2,2,1.0,1
417,1.0,0,1,0,0,4,2,1.0,0
418,1.0,0,0,0,0,1,0,1.0,0
419,0.0,-1,1,0,0,1,2,1.0,0
420,2.0,-1,0,0,1,1,2,1.0,0
421,0.0,0,1,0,0,2,2,1.0,1
422,1.0,0,1,0,0,2,2,1.0,1
423,1.0,0,-1,0,0,0,2,0,1
424,1.0,0,-1,0,0,3,2,1.0,0
425,1.0,0,1,0,0,0,2,1.0,1
426,2.0,0,1,0,0,3,2,1.0,0
427,1.0,0,1,0,0,1,1,1.0,0
428,1.0,0,1,0,0,4,1,1.0,0
429,0.0,0,1,0,0,3,2,1.0,1
430,1.0,0,1,0,0,4,2,1.0,1
431,0.0,0,1,0,0,2,2,1.0,2
432,1.0,0,1,0,0,3,1,1.0,0
433,0.0,0,1,0,0,1,2,1.0,1
434,1.0,0,1,0,0,3,2,1.0,0
435,0.0,0,0,0,0,4,2,0,1
436,10.0,2,1,0,1,4,2,1.0,4
437,1.0,0,1,0,0,3,1,1.0,0
438,2.0,0,-1,0,1,3,1,1.0,0
439,3.0,0,1,0,0,4,2,0,0
440,1.0,0,1,0,0,5,2,1.0,0
441,7.0,0,1,0,0,4,2,1.0,0
442,2.0,0,1,0,0,0,2,1.0,0
443,1.0,0,1,0,0,2,0,1.0,1
444,0.0,0,1,0,0,1,2,1.0,1
445,3.0,2,1,0,0,0,2,1.0,0
446,7.0,2,1,0,0,2,2,3.0,0
447,1.0,0,1,0,0,2,1,1.0,0
448,3.0,0,-1,0,0,2,2,3.0,0
449,0.0,0,1,1,0,1,0,1.0,1
450,0.0,2,1,1,0,4,2,1.0,2
451,0.0,0,1,0,0,0,2,1.0,1
452,2.0,0,0,0,0,4,2,1.0,1
453,1.0,1,1,0,0,1,2,1.0,0
454,1.0,0,1,0,0,0,2,1.0,0
455,1.0,0,1,0,0,3,2,2.0,1
456,1.0,1,1,0,0,0,2,1.0,0
457,1.0,0,1,0,0,1,2,2.0,0
458,0.0,0,1,0,0,1,2,0,1
459,0.0,2,1,0,0,0,2,1.0,2
