gsId,name,old name,matching,shoot,type,gradeCategory,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,gsID_census,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504
74,Joshua Chadbourne Elementary School,,,0,public,K-5,K-6,788,4,9,Fremont Unified School District,8,614400,61440001661,"801 Plymouth Avenue, 
Fremont, CA  94539",Fremont,74,90.61,0.25,3.17,1.65,0,0,4.31,443,46.3,1147,6.73,5.3,0,0.5
75,Circle of Independent Learning School,,,0,charter,K-12,K-12,304,5,5,Fremont Unified School District,8,614400,61440007479,"4700 Calaveras Avenue, 
Fremont, CA  94538",Fremont,75,36.18,4.93,23.36,5.26,0.33,0.99,28.95,13,1.9,1147,16.45,12.9,9.8,0
76,J. Haley Durham Elementary School,,,0,public,K-5,K-6,580,4,7,Fremont Unified School District,8,614400,61440001662,"40292 Leslie Street, 
Fremont, CA  94538",Fremont,76,52.41,5.17,23.79,3.97,0,0.86,13.79,13,1.9,1147,38.28,6.5,5.3,4.8
77,Forest Park Elementary School,,,0,public,K-5,K-6,1022,4,9,Fremont Unified School District,8,614400,61440000488,"34400 Maybird Circle, 
Fremont, CA  94555",Fremont,77,90.61,1.08,3.03,0.88,0.1,0.59,3.72,13,1.9,1147,4.79,3.8,0,0.2
78,Glenmoor Elementary School,,,0,public,K-5,K-6,659,4,7,Fremont Unified School District,8,614400,61440001663,"4620 Mattos Drive, 
Fremont, CA  94536",Fremont,78,45.83,2.88,29.89,4.1,0,0.61,16.69,13,1.9,1147,37.63,7.2,0,1.5
79,John Gomes Elementary School,,,0,public,K-5,K-6,820,4,9,Fremont Unified School District,8,614400,61440001664,"555 Lemos Lane, 
Fremont, CA  94539",Fremont,79,89.02,0.49,2.56,2.2,0.24,0.24,5.24,13,1.9,1147,4.27,3.3,0,0.3
80,Harvey Green Elementary School,,,0,public,K-5,K-6,489,4,9,Fremont Unified School District,8,614400,61440001665,"42875 Gatewood Street, 
Fremont, CA  94538",Fremont,80,60.33,1.64,18.61,3.27,0.2,0.41,15.54,13,1.9,1147,29.45,9.5,4.9,0.9
81,E. M. Grimmer Elementary School,,,0,public,K-5,K-6,472,4,7,Fremont Unified School District,8,614400,61440001666,"43030 Newport Drive, 
Fremont, CA  94538",Fremont,81,30.3,1.48,54.03,2.97,0.64,1.06,9.53,13,1.9,1147,58.47,12.4,4.5,0.5
82,O. N. Hirsch Elementary School,,,0,public,K-5,K-6,552,4,8,Fremont Unified School District,8,614400,61440001668,"41399 Chapel Way, 
Fremont, CA  94538",Fremont,82,69.57,1.99,11.41,2.17,0.36,0.54,13.95,13,1.9,1147,25.54,10.4,0,0.8
83,William Hopkins Junior High School,,,0,public,6-8,8-Jul,1017,4,6,Fremont Unified School District,8,614400,61440001669,"600 Driscoll Road, 
Fremont, CA  94539",Fremont,83,92.23,0.29,1.18,1.47,0,0.1,4.72,13,1.9,1147,3.74,2.2,2.5,1.3
84,John M. Horner Junior High School,,,0,public,6-8,8-Jul,1140,4,8,Fremont Unified School District,8,614400,61440001670,"41365 Chapel Way, 
Fremont, CA  94538",Fremont,84,73.6,1.75,10.7,2.63,0.44,0.26,10.61,13,1.9,1147,15.7,6,7.4,1.6
85,Irvington High School,,,0,public,9-12,12-Sep,2253,5,9,Fremont Unified School District,8,614400,61440001671,"41800 Blacow Road, 
Fremont, CA  94538",Fremont,85,69.02,1.82,10.92,1.6,0.44,0.67,15.53,759,38,1063,15.98,5.6,2.3,2.8
86,John F. Kennedy High School,,,0,public,9-12,12-Sep,1401,3,7,Fremont Unified School District,8,614400,61440001672,"39999 Blacow Road, 
Fremont, CA  94538",Fremont,86,33.98,5.07,33.19,2,0.43,1.43,23.91,246,21.6,152,43.04,9.6,5.1,1.4
87,James Leitch Elementary School,,,0,public,K-5,K-3,1018,4,8,Fremont Unified School District,8,614400,61440001673,"47100 Fernald Street, 
Fremont, CA  94539",Fremont,87,89.19,0.49,2.95,1.87,0.29,0,5.21,246,21.6,152,3.54,2.5,0,0
89,Tom Maloney Elementary School,,,0,public,K-5,K-6,591,4,7,Fremont Unified School District,8,614400,61440001674,"38700 Logan Drive, 
Fremont, CA  94536",Fremont,89,59.73,2.88,22.5,2.71,0.17,0.51,11.51,246,21.6,152,29.27,4.3,3.7,0.7
91,John G. Mattos Elementary School,,,0,public,K-5,K-6,615,4,6,Fremont Unified School District,8,614400,61440001675,"37944 Farwell Drive, 
Fremont, CA  94536",Fremont,91,51.54,1.79,17.4,4.88,0.65,0.81,22.93,246,21.6,152,15.61,12.3,0,0.9
92,Steven Millard Elementary School,,,0,public,K-5,K-6,597,4,8,Fremont Unified School District,8,614400,61440001676,"5200 Valpey Park Drive, 
Fremont, CA  94538",Fremont,92,53.94,2.18,22.61,3.18,0.67,1.01,16.42,246,21.6,152,24.96,9.2,0,0.7
93,Mission San Jose Elementary School,,,0,public,K-5,K-6,622,4,9,Fremont Unified School District,8,614400,61440001677,"43545 Bryant Street, 
Fremont, CA  94539",Fremont,93,92.28,0.8,2.73,1.61,0,0.16,2.41,246,21.6,152,2.57,3.5,0,1.1
94,Mission San Jose High School,,,0,public,9-12,12-Sep,2069,4,10,Fremont Unified School District,8,614400,61440001678,"41717 Palm Avenue, 
Fremont, CA  94539",Fremont,94,91.78,0.48,1.59,0.48,0,0.1,5.56,768,64,2232,4.06,2.7,4.9,2.1
95,Mission Valley Elementary School,,,0,public,K-5,K-6,670,4,7,Fremont Unified School District,8,614400,61440001679,"41700 Denise Street, 
Fremont, CA  94539",Fremont,95,86.87,1.04,4.18,1.49,0,0,6.42,768,64,2232,7.76,5.3,0,0.6
96,Niles Elementary School,,,0,public,K-5,K-6,581,4,8,Fremont Unified School District,8,614400,61440001680,"37141 Second Street, 
Fremont, CA  94536",Fremont,96,48.36,1.89,14.11,8.43,0.17,0,27.02,768,64,2232,12.56,5.1,0,1.2
97,Oliveira Elementary School,,,0,public,K-5,K-6,720,4,7,Fremont Unified School District,8,614400,61440001683,"4180 Alder Avenue, 
Fremont, CA  94536",Fremont,97,62.36,3.75,18.47,4.17,0.42,0.56,10.28,768,64,2232,22.08,9.6,3.6,0.3
98,Parkmont Elementary School,,,0,public,K-5,K-6,895,4,9,Fremont Unified School District,8,614400,61440001684,"2601 Parkside Drive, 
Fremont, CA  94536",Fremont,98,73.74,1.23,10.06,3.02,0.22,0.45,11.28,768,64,2232,9.72,3.4,0,0.5
99,Patterson Elementary School,,,0,public,K-5,K-6,650,3,6,Fremont Unified School District,8,614400,61440001685,"35521 Cabrillo Drive, 
Fremont, CA  94536",Fremont,99,56.77,4.92,18.15,6.31,0.62,1.08,12.15,768,64,2232,28.77,6.5,0,0.7
100,Robertson High (Continuation) School,,,0,public,9-12,12-Sep,204,5,3,Fremont Unified School District,8,614400,61440001686,"4455 Seneca Park Avenue, 
Fremont, CA  94538",Fremont,100,14.71,5.88,56.37,3.43,0.49,0.98,18.14,0,64,2232,60.78,6.4,5.7,2.6
101,Thornton Junior High School,,,0,public,6-8,8-Jul,1207,3,8,Fremont Unified School District,8,614400,61440001687,"4357 Thornton Avenue, 
Fremont, CA  94536",Fremont,101,67.85,3.07,10.27,4.89,0.33,0.25,13.34,0,64,2232,21.54,4.1,0,2.8
