Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504,gsId
16.24,31.45,40.18,3.51,0.81,1.24,6.58,353,22.9,168,75.62,12.8,9.8,0.4,259
1.44,28.06,66.19,2.52,0.36,0.36,1.08,353,22.9,168,97.12,7,22.2,0.8,260
0,1.42,97.73,0.57,0,0,0.28,353,22.9,168,94.6,6,0,0,261
5.31,56.64,33.63,1.77,0,0,2.65,2,1.2,168,70.8,0,0,0,262
11.93,11.93,9.9,13.71,0,0,52.54,2,1.2,168,13.96,8.2,6.7,0,264
17.8,50.11,23.74,3.52,0.44,0.22,4.18,2,1.2,168,93.41,15.7,12.9,0.3,269
10.15,2.99,12.84,19.1,0,0,54.93,2,1.2,168,1.79,15.7,12.9,0.3,272
15.69,0.4,5.23,14.49,0,0.2,63.98,2,1.2,168,0.6,15.7,12.9,0.3,273
10,20,8.57,2.86,0,0,58.57,2,1.2,168,5.71,15.7,12.9,0.3,274
17.88,2.25,4.13,7.25,0.13,0.13,68.25,2,39.5,390,1.13,15.7,12.9,0.3,275
13.66,0.73,5.87,13.66,0.15,0,65.93,2,39.5,390,0.44,15.7,12.9,0.3,276
11.86,0,10.26,11.22,0.32,0,66.35,2,39.5,390,0,15.7,12.9,0.3,277
33.12,1.11,10.67,6.85,0.32,0,47.93,2,39.5,390,7.96,17.4,7.7,2,278
34.63,1.86,9.74,2.21,0.23,0.23,51.1,627,47,2016,5.97,7,2.1,1.9,279
46.06,0.97,5.7,7.76,0,0.48,39.03,627,47,2016,4.24,15.6,9.7,0.9,280
59.24,0.76,8.92,4.59,0,0.13,26.37,627,47,2016,6.88,8.6,3.6,0.5,281
37.36,2.49,9.16,3.45,0.24,0.34,46.95,619,43,1252,5.04,8,2.1,1.9,282
43.12,0.76,5.29,4.19,0.08,0.17,46.39,619,43,1252,4.87,9.7,3.3,1.8,283
37.83,1.88,8.7,6.52,0.43,0.43,44.2,619,43,1252,5.8,17.4,13.8,1,284
71.01,1.45,4.19,2.25,0,0.32,20.77,619,43,1252,5.48,9.4,7.7,0.6,285
33.18,1.18,12.74,4.25,0.16,0.08,48.43,619,43,1252,10.14,9.8,9.8,2.3,286
12.61,0.89,35.76,6.08,0,0.15,44.51,619,43,1252,23.59,12.4,3.6,0.5,287
8.65,3.85,26.92,3.85,0,0.96,55.77,0,43,1252,32.69,24.9,2.8,1.5,288
31.91,0.49,7.69,7.53,0,0,52.37,0,43,1252,2.78,14.8,3.8,1.1,289
28.69,0.54,3.79,4.6,0,0,62.38,0,43,1252,3.25,11.3,3.8,0.6,290
12.36,18.76,52.47,3.6,0.11,1.01,11.69,0,43,1252,72.58,11.9,0,1,291
19.95,13.07,50.92,6.42,0.92,0.92,7.8,0,43,1252,57.34,14.1,5.6,0,292
10.98,15.74,64.43,2.62,0.33,0.98,4.92,0,43,1252,76.23,12.8,5,0.3,293
6.15,23.08,63.08,2.31,0,2.31,3.08,2,43,1252,72.31,24.2,17.2,10.5,294
56.07,8.18,22.66,5.37,0.47,0.23,7.01,2,43,1252,49.07,17.7,23.1,0,295
17.02,14.5,57.14,3.57,0.42,1.68,5.67,2,43,1252,72.27,7,5.9,0,296
34.18,7.85,39.24,6.84,0,2.03,9.87,2,43,1252,62.03,17.6,8.3,0,297
33.23,9.8,45.1,3.1,0.1,1.75,6.91,2,43,1252,68.52,15.4,0,0.4,298
11.91,13.67,32.42,10.74,0.78,1.37,29.1,2,43,1252,34.18,8.9,10.5,0,299
24.14,17.6,44.47,2.73,0.27,1.58,9.2,373,21.1,311,62.03,11,0,0.3,300
9.35,12.21,64.94,6.23,0.26,0.52,6.49,373,21.1,311,70.65,8.4,0,0,301
29.69,5.04,54.48,3.08,0,1.12,6.58,373,21.1,311,69.61,6.6,0,0.5,302
31.81,8.05,44.05,1.9,0.54,1.14,12.51,271,28.8,301,50.19,8.6,5.7,1.9,303
25.46,7.38,49.63,3.51,0.18,1.29,12.55,271,28.8,301,51.66,10.7,11.7,0.3,304
1.59,22.22,64.29,0,0,2.38,9.52,0,28.8,301,59.52,9.6,8.8,1.9,305
12.11,8.03,65.47,2.04,0.48,1.32,10.55,0,28.8,301,67.39,11.3,9.2,1.4,306
5.95,4.85,82.79,1.1,0.63,1.1,3.6,0,28.8,301,84.82,6.7,6,0.6,307
28.4,9.41,45.21,4.71,0.5,1.34,10.42,0,28.8,301,60.17,10.7,0,0.6,308
41.03,5.13,35.7,6.11,0.39,1.97,9.66,0,28.8,301,61.74,7.3,0,0,309
15.65,6.49,62.21,0.95,0.76,1.15,12.79,0,28.8,301,66.98,12.1,4.2,0,310
9.56,20.79,62.06,2.28,0.15,1.52,3.64,0,28.8,301,83.16,13.2,30.2,2.9,311
24.22,10.31,52.28,3.36,0,1.44,8.39,0,28.8,301,64.51,8.2,8.2,0,312
14.16,14.31,63.17,0.85,0.28,1.56,5.67,0,28.8,301,78.47,6.8,0,1.4,313
6.45,23.83,61.33,4.49,0.39,0.59,2.93,0,28.8,301,90.23,5.6,26.5,0,314
8.72,7.59,74.15,2.1,0.81,1.29,5.33,0,28.8,301,79.32,6.8,0,1.2,315
13.2,15.66,60.89,1.95,0.22,1.3,6.78,153,19.2,122,76.55,9.5,19.3,1.1,316
35.77,8.13,42.51,2.09,0.35,1.05,10.1,153,19.2,122,56.56,10.3,0,1.2,317
17.08,0.71,21,15.3,0.36,0.36,45.2,153,19.2,122,4.63,6.3,18.4,2.6,318
